Contract_code,contract_type,City,town,building_type,Region,application,area,percent,price,price_per_mm,age,Skeleton_type,time,Postal_code
19049756,Contr_letter,Qom,Qom,apartment,,Residential,90,100,4515000,50166.67,4,concrete,1399/04/01,371146
19050690,Contr_letter,Qom,Qom,apartment,,Residential,157.54,100,15100000,95848.67,6,concrete,1399/04/01,371613
19050942,Contr_letter,Qom,Qom,apartment,1,Residential,60,100,3990000,66500,14,concrete,1399/04/01,371914
19051213,Contr_letter,Qom,Qom,apartment,8,Residential,79,100,3410000,43164.56,6,concrete,1399/04/01,371134
19050952,Contr_letter,Qom,Qom,apartment,4,Residential,79.6,100,4320000,54271.36,6,metallic_&_concrete,1399/04/01,371343
19051572,Contr_letter,Qom,Qom,apartment,,Residential,123.1,100,9200000,74735.99,5,concrete,1399/04/01,371486
19051720,Contr_letter,Qom,Qom,apartment,,Residential,80.03,100,4550000,56853.68,9,metallic_&_concrete,1399/04/01,374917
19052421,Contr_letter,Qom,Qom,apartment,1,Residential,130,41.67,15275000,48958.33,0,concrete,1399/04/01,371915
19052673,Contr_letter,Qom,Qom,apartment,1,Residential,150,41.67,17625000,48958.33,0,concrete,1399/04/01,371915
19053894,Contr_letter,Qom,Qanavat,apartment,,Residential,75,100,2680000,35733.33,1,concrete,1399/04/01,373171
19053953,Contr_letter,Qom,Qom,apartment,1,Residential,125,100,9650000,77200,0,concrete,1399/04/01,371488
19054532,Contr_letter,Qom,Qom,apartment,4,Residential,102.23,100,8500000,83145.85,2,concrete,1399/04/01,371313
19054603,Contr_letter,Qom,Qom,apartment,,Residential,96,100,1690000,17604.17,7,concrete,1399/04/01,371111
19054626,Contr_letter,Qom,Qom,apartment,4,Residential,111.05,100,13300000,119765.87,5,concrete,1399/04/01,371614
19054753,Contr_letter,Qom,Qom,apartment,,Residential,90,100,7000000,77777.78,1,concrete,1399/04/01,371688
19055268,Contr_letter,Qom,Qom,apartment,1,Residential,81.55,100,5120000,62783.57,14,metallic,1399/04/01,371911
19055312,Contr_letter,Qom,Qom,apartment,1,Residential,142,100,26900000,189436.62,0,metallic,1399/04/01,371919
19055382,Contr_letter,Qom,Qom,apartment,,Residential,90,100,4750000,52777.78,5,concrete,1399/04/01,371138
19055930,Contr_letter,Qom,Qom,apartment,,Residential,79.8,100,4350000,54511.28,6,concrete,1399/04/02,374919
19056169,Contr_letter,Qom,Qom,apartment,1,Residential,113.27,100,8970000,79191.31,0,concrete,1399/04/02,371488
19056502,Contr_letter,Qom,Qom,apartment,8,Residential,80.9,100,3400000,42027.19,6,concrete,1399/04/02,371133
19056928,Contr_letter,Qom,Qom,apartment,4,Residential,100,100,11600000,116000,0,concrete,1399/04/02,371676
19057288,Contr_letter,Qom,Qom,apartment,,Residential,86,100,4270000,49651.16,8,concrete,1399/04/02,374966
19057858,Contr_letter,Qom,Qom,apartment,8,Residential,64.2,100,3080000,47975.08,9,concrete,1399/04/02,374918
19058639,Contr_letter,Qom,Qom,apartment,,Residential,117,100,7600000,64957.26,7,metallic_&_concrete,1399/04/02,374915
19058718,Contr_letter,Qom,Qom,apartment,,Residential,87,100,6090000,70000,1,concrete,1399/04/02,371915
19058776,Contr_letter,Qom,Qom,apartment,8,Residential,90.04,100,4275000,47478.9,6,concrete,1399/04/02,374966
19058807,Contr_letter,Qom,Qom,apartment,,Residential,62.8,100,3675000,58519.11,14,metallic,1399/04/02,371486
19059325,Contr_letter,Qom,Qom,apartment,,Residential,72.5,100,6000000,82758.62,8,concrete,1399/04/02,371918
19060092,Contr_letter,Qom,Qom,apartment,,Residential,93.56,100,4980000,53227.88,7,concrete,1399/04/02,371138
19061046,Contr_letter,Qom,Qom,apartment,8,Residential,59.6,100,2740000,45973.15,16,concrete,1399/04/02,374911
19061620,Contr_letter,Qom,Qom,apartment,,Residential,106,50,2500000,11792.45,5,metallic,1399/04/02,371137
19061641,Contr_letter,Qom,Qom,apartment,,Residential,104.11,100,5600000,53789.26,5,metallic_&_concrete,1399/04/02,374916
19061747,Contr_letter,Qom,Qom,apartment,4,Residential,223.3,100,24400000,109270.04,0,concrete,1399/04/02,371313
19061981,Contr_letter,Qom,Qom,apartment,,Residential,140,100,12950000,92500,1,concrete,1399/04/02,371341
19062030,Contr_letter,Qom,Qom,apartment,8,Residential,83,100,4350000,52409.64,5,concrete,1399/04/02,374964
19062235,Contr_letter,Qom,Qom,apartment,,Residential,110,100,7200000,65454.55,10,concrete,1399/04/02,371343
19062604,Contr_letter,Qom,Qom,apartment,4,Residential,112,100,10750000,95982.14,8,concrete,1399/04/02,371343
19062992,Contr_letter,Qom,Qom,apartment,,Residential,140,100,9710000,69357.14,1,concrete,1399/04/03,374967
19063203,Contr_letter,Qom,Qom,apartment,1,Residential,130,100,10000000,76923.08,0,concrete,1399/04/03,371485
19063533,Contr_letter,Qom,Qom,apartment,,Residential,85,100,8000000,94117.65,10,concrete,1399/04/03,371341
19063763,Contr_letter,Qom,Jafarie,apartment,,Residential,106,100,1700000,16037.74,8,metallic_&_concrete,1399/04/03,374411
19064045,Contr_letter,Qom,Qom,apartment,,Residential,155,100,11000000,70967.74,1,concrete,1399/04/03,371166
19064333,Contr_letter,Qom,Qom,apartment,8,Residential,75.66,100,3750000,49563.84,4,metallic_&_concrete,1399/04/03,371133
19065316,Contr_letter,Qom,Qom,apartment,8,Residential,94,100,4655000,49521.28,9,concrete,1399/04/03,374969
19065980,Contr_letter,Qom,Qom,apartment,8,Residential,185,100,5910000,31945.95,8,concrete,1399/04/03,374915
19065993,Contr_letter,Qom,Qom,apartment,4,Residential,76.6,100,5790000,75587.47,15,concrete,1399/04/03,371688
19066311,Contr_letter,Qom,Qom,apartment,,Residential,86.2,100,4500000,52204.18,6,concrete,1399/04/03,374964
19067192,Contr_letter,Qom,Qom,apartment,,Residential,113.89,100,7300000,64096.94,2,concrete,1399/04/03,374913
19067325,Contr_letter,Qom,Qom,apartment,3,Residential,50,100,3075000,61500,10,metallic,1399/04/03,371818
19068746,Contr_letter,Qom,Qom,apartment,4,Residential,105,100,10080000,96000,2,concrete,1399/04/03,371614
19069000,Contr_letter,Qom,Qom,apartment,4,Residential,77.5,100,6000000,77419.35,13,concrete,1399/04/03,371688
19069181,Contr_letter,Qom,Qom,apartment,4,Residential,105,100,10080000,96000,2,concrete,1399/04/03,371614
19069706,Contr_letter,Qom,Jafarie,apartment,,Residential,127,100,12670000,99763.78,1,concrete,1399/04/03,373992
19070478,Contr_letter,Qom,Qom,apartment,8,Residential,90.89,100,4230000,46539.77,4,concrete,1399/04/04,371311
19071025,Contr_letter,Qom,Qom,apartment,,Residential,88.35,100,3357300,38000,12,concrete,1399/04/04,374917
19071207,Contr_letter,Qom,Qom,apartment,,Residential,121,100,9400000,77685.95,1,concrete,1399/04/04,371914
19072499,Contr_letter,Qom,Qom,apartment,8,Residential,113.19,100,5660000,50004.42,12,metallic_&_concrete,1399/04/04,371313
19073112,Contr_letter,Qom,Qom,apartment,4,Residential,140,100,18200000,130000,0,concrete,1399/04/04,371674
19073266,Contr_letter,Qom,Qom,apartment,8,Residential,90,100,4590000,51000,6,concrete,1399/04/04,371134
19074586,Contr_letter,Qom,Qom,apartment,,Residential,117,100,12630000,107948.72,1,metallic,1399/04/04,371611
19074591,Contr_letter,Qom,Qom,apartment,,Residential,82,100,3670000,44756.1,7,concrete,1399/04/04,371136
19074638,Contr_letter,Qom,Qom,apartment,,Residential,205,100,24900000,121463.41,0,concrete,1399/04/04,371614
19075151,Contr_letter,Qom,Qom,apartment,8,Residential,102.43,100,5200000,50766.38,7,concrete,1399/04/04,374918
19075164,Contr_letter,Qom,Qom,apartment,,Residential,86,100,7500000,87209.3,9,concrete,1399/04/04,371569
19075363,Contr_letter,Qom,Qom,apartment,1,Residential,95.69,100,8500000,88828.51,2,concrete,1399/04/04,371473
19075416,Contr_letter,Qom,Qom,apartment,,Residential,85,100,5950000,70000,17,concrete,1399/04/04,371613
19076318,Contr_letter,Qom,Qom,apartment,,Residential,130,100,9200000,70769.23,0,concrete,1399/04/04,371485
19076566,Contr_letter,Qom,Qom,apartment,5,Residential,125,100,6670000,53360,4,concrete,1399/04/04,371434
19076577,Contr_letter,Qom,Qom,apartment,,Residential,88.11,100,7480000,84893.88,5,concrete,1399/04/04,371486
19076627,Contr_letter,Qom,Qom,apartment,8,Residential,68,100,3325000,48897.06,5,concrete,1399/04/04,371137
19076675,Contr_letter,Qom,Qom,apartment,8,Residential,80.17,100,4500000,56130.72,5,metallic_&_concrete,1399/04/04,371146
19077597,Contr_letter,Qom,Qom,apartment,8,Residential,84.72,100,5300000,62559.02,8,concrete,1399/04/05,374915
19078070,Contr_letter,Qom,Qom,apartment,,Residential,77,100,3700000,48051.95,6,concrete,1399/04/05,371137
19078714,Contr_letter,Qom,Qom,apartment,,Residential,77.5,100,630000,8129.03,8,metallic_&_concrete,1399/04/05,371135
19079646,Contr_letter,Qom,Qom,apartment,1,Residential,97,100,6100000,62886.6,5,concrete,1399/04/05,371915
19080065,Contr_letter,Qom,Qom,apartment,3,Residential,96.36,100,9400000,97550.85,3,metallic_&_concrete,1399/04/05,371969
19080664,Contr_letter,Qom,Qom,apartment,,Residential,85.92,100,8380000,97532.59,3,concrete,1399/04/05,371596
19081404,Contr_letter,Qom,Qom,apartment,8,Residential,150,100,9700000,64666.67,8,metallic_&_concrete,1399/04/05,371168
19081707,Contr_letter,Qom,Qom,apartment,8,Residential,68,100,3170000,46617.65,7,metallic_&_concrete,1399/04/05,371136
19082023,Contr_letter,Qom,Qom,apartment,4,Residential,12676,100,11470000,904.86,1,concrete,1399/04/05,371391
19082033,Contr_letter,Qom,Qom,apartment,,Residential,144.76,100,14250000,98438.8,1,concrete,1399/04/05,371341
19082128,Contr_letter,Qom,Qom,apartment,5,Residential,135,100,9180000,68000,0,concrete,1399/04/05,371497
19082297,Contr_letter,Qom,Qom,apartment,,Residential,84.87,100,3810000,44892.19,7,concrete,1399/04/05,374967
19082315,Contr_letter,Qom,Qom,apartment,,Residential,81.45,100,6100000,74892.57,10,metallic,1399/04/05,371115
19082357,Contr_letter,Qom,Qom,apartment,4,Residential,106.2,100,11000000,103578.15,2,concrete,1399/04/05,371679
19082499,Contr_letter,Qom,Qom,apartment,,Residential,85,100,1900000,22352.94,6,concrete,1399/04/06,374613
19083692,Contr_letter,Qom,Qom,apartment,8,Residential,74.83,100,3792000,50674.86,3,concrete,1399/04/06,371613
19085082,Contr_letter,Qom,Qom,apartment,,Residential,55.72,100,2600000,46661.88,13,metallic,1399/04/07,374913
19085301,Contr_letter,Qom,Qom,apartment,,Residential,100,100,9000000,90000,1,concrete,1399/04/07,371313
19085684,Contr_letter,Qom,Qom,apartment,1,Residential,118.35,100,7350000,62103.93,0,concrete,1399/04/07,371485
19086191,Contr_letter,Qom,Qom,apartment,4,Residential,104.23,100,10350000,99299.63,7,metallic,1399/04/07,371683
19086265,Contr_letter,Qom,Qom,apartment,8,Residential,86.05,100,4000000,46484.6,16,concrete,1399/04/07,374911
19087563,Contr_letter,Qom,Qom,apartment,,Residential,68.15,100,3200000,46955.25,16,metallic,1399/04/07,374911
19088005,Contr_letter,Qom,Qom,apartment,8,Residential,51.5,100,2840000,55145.63,14,metallic,1399/04/07,374911
19088142,Contr_letter,Qom,Qom,apartment,,Residential,150,100,12750000,85000,1,concrete,1399/04/07,371686
19089277,Contr_letter,Qom,Qom,apartment,8,Residential,92.77,100,4900000,52818.8,0,concrete,1399/04/07,371168
19090239,Contr_letter,Qom,Qom,apartment,1,Residential,90.31,100,9000000,99656.74,9,metallic,1399/04/07,371571
19091061,Contr_letter,Qom,Qom,apartment,8,Residential,77.7,100,3180000,40926.64,5,concrete,1399/04/07,371137
19091078,Contr_letter,Qom,Qom,apartment,8,Residential,86.75,100,4400000,50720.46,9,concrete,1399/04/07,374964
19091408,Contr_letter,Qom,Qom,apartment,8,Residential,97.7,100,5050000,51688.84,8,concrete,1399/04/07,374916
19092457,Contr_letter,Qom,Qom,apartment,4,Residential,130.1,100,11900000,91468.1,5,concrete,1399/04/08,371688
19092681,Contr_letter,Qom,Qom,apartment,,Residential,71.5,100,3600000,50349.65,9,metallic_&_concrete,1399/04/08,371131
19092930,Contr_letter,Qom,Qom,apartment,,Residential,95,100,8700000,91578.95,0,concrete,1399/04/08,371313
19092948,Contr_letter,Qom,Qom,apartment,4,Residential,98.35,100,10700000,108795.12,5,metallic_&_concrete,1399/04/08,371313
